,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
0,31300.0,0.0,784.0,740.0,0.0,0.0,0.0,0.0,0.0,20386.0,847078.0,2404100.0,2645236.0,2415620.0,1957818.0,459032.0,4730560.0,0.0,0.0,0.0,38582.0,60878.0,10050600.0,9473796.0,2022538.0,530234.0,0.0,0.0,0.0,0.0,1736.0,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958836.0,8790434.0,0.0,10364.0,2952.0,3596.0,1435896.0,1136152.0,7914616.0,234256.0,11438.0,0.0,0.0,6776298.0,2165810.0,659492.0,404564.0,322062.0,230824.0,116654.0,64192.0,9168.0,206.0,12111862.0,254.0,226.0,444.0,0.0,4730560.0,293792.0,349952.0,1671484.0,193360.0,186560.0,185780.0,189300.0,196400.0,200560.0,196340.0,196580.0,720.0,31300.82,12111862.0,12111862.0,12093948.0,19275.0,6256.0,118688.0,7220.0,10753880.0,1209600.0,1012604.0,62.0,586.0,0.0,5222058.24,3987438.72,1525939.2,4.0,1368.0,0.0,19236.0,518128.0,1997044.0,3112882.0,2766802.0,2052512.0,279284.0,3304.0,78.0,214.0,1100.0,12111862.0,0.0,12398.0,1510.0,61822.0,2829888.0,1358728.0,5264506.0,1185462.0,34954.0,2.0,0.0,688.0,1628.0,4865556.0,28858.0,0.0,5196.0,0.0,0.0,5444212.0,27758.0,4492.0,0.0,0.0,32230.0,4162482.0,0.0,0.0,0.0,0.0,82844.0,352.0,84.0,7345640.0,1436010.0,425200.0,113400.0,12920.0,9218.0,11752100.0,4112.0,0.0,0.0,0.0,4923.88,3018.0,5895398.0,3849254.0,798872.0,112724.0,51736.0,7054.0,6628.0,27600.0,2.0,2.0,0.0,0.0
1,97000.0,0.0,378.0,160.0,0.0,0.0,0.0,0.0,0.0,84938.0,2172716.0,4818644.0,3113846.0,523016.0,14590.0,0.0,4706546.0,0.0,0.0,0.0,34126.0,50964.0,9612370.0,8765116.0,1432862.0,695194.0,0.0,0.0,0.0,0.0,380.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,1398452.0,9185576.0,143722.0,0.0,14274.0,1568.0,2404.0,2976.0,19180.0,8465634.0,2192568.0,28644.0,502.0,0.0,6770220.0,1773144.0,948234.0,392148.0,245140.0,193264.0,153696.0,108774.0,66214.0,76916.0,11080752.0,812.0,118.0,8234.0,0.0,4706546.0,115040.0,401350.0,1029202.0,178560.0,140640.0,143720.0,152740.0,156080.0,170420.0,143560.0,138300.0,28060.0,97000.63,11080752.0,11080752.0,11350370.0,33123.0,114.0,3616.0,177560.0,10733254.0,1209600.0,403228.0,0.0,430.0,0.0,6374864.64,2717504.64,1631131.2,680.0,1458.0,0.0,2624.0,437316.0,1563610.0,3884236.0,3119898.0,1174734.0,433042.0,107926.0,4364.0,2496.0,2888.0,11080752.0,0.0,16580.0,2344.0,3598252.0,897714.0,685356.0,4466168.0,986700.0,74082.0,554.0,0.0,242.0,598.0,6320368.0,833382.0,0.0,3164.0,0.0,0.0,6503272.0,15580.0,2636.0,0.0,0.0,5660.0,3173544.0,0.0,0.0,0.0,0.0,37806.0,17372.0,2590.0,7053478.0,2661512.0,297314.0,98366.0,15240.0,2444.0,2533098.0,13908.0,0.0,0.0,7000670.0,5992.06,5548.0,4499218.0,2027904.0,1078982.0,313334.0,511330.0,552328.0,871528.0,871104.0,1980.0,42.0,0.0,0.0
2,124656.0,2.0,278.0,170.0,0.0,0.0,0.0,0.0,0.0,194792.0,3897674.0,2778378.0,707246.0,66264.0,3186.0,0.0,3423036.0,0.0,0.0,0.0,231038.0,322998.0,6815316.0,6243968.0,3042264.0,630724.0,4.0,0.0,0.0,0.0,234.0,1552.0,0.0,0.0,0.0,0.0,0.0,214966.0,2338100.0,4351814.0,742660.0,0.0,35368.0,26298.0,30926.0,42184.0,75584.0,6755470.0,575266.0,104470.0,1974.0,0.0,3584232.0,1537928.0,613600.0,408354.0,330820.0,252934.0,222688.0,197348.0,111212.0,388424.0,10089184.0,1576.0,90.0,1390.0,0.0,3423036.0,99934.0,2516812.0,524078.0,344820.0,378660.0,375140.0,328660.0,332740.0,411100.0,353360.0,390840.0,118580.0,124655.35,10089184.0,10089184.0,10040436.0,39591.0,48.0,33410.0,403460.0,7651196.0,1209600.0,186304.0,0.0,274.0,0.0,6947319.36,18.24,679423.68,1130.0,3502.0,0.0,7532.0,941124.0,1635758.0,2844420.0,1769994.0,403710.0,39506.0,5028.0,468.0,34.0,46.0,10089184.0,0.0,12078.0,1440.0,439424.0,277146.0,773016.0,5724722.0,409310.0,10370.0,34.0,0.0,220.0,2436.0,6951406.0,2533160.0,0.0,38432.0,0.0,0.0,7014492.0,5004.0,444.0,0.0,0.0,30.0,258.0,0.0,0.0,0.0,0.0,50700.0,21260.0,5470.0,18515482.0,3082934.0,266786.0,41382.0,17980.0,3396.0,9533806.0,18168.0,0.0,0.0,84655380.0,3374.28,3164.0,714730.0,1121358.0,1205696.0,866148.0,697610.0,700400.0,1900386.0,437532.0,3680.0,0.0,0.0,0.0
3,281324.0,2.0,3762.0,2346.0,0.0,0.0,4808.0,215720.0,967572.0,2037438.0,3416030.0,1725790.0,297726.0,26190.0,0.0,0.0,10093048.0,80772.0,0.0,0.0,3166680.0,6330452.0,14884214.0,13362180.0,9595596.0,4032312.0,2.0,0.0,0.0,0.0,17598.0,4170.0,0.0,0.0,0.0,0.0,0.0,0.0,86034.0,4767914.0,3837326.0,0.0,8004.0,5118.0,8170.0,16648.0,479842.0,4227768.0,2128916.0,1816808.0,0.0,0.0,4705858.0,1243830.0,778766.0,430078.0,298428.0,217722.0,191462.0,215096.0,85502.0,524532.0,27646704.0,5200.0,4896.0,3234.0,2.0,10093048.0,341440.0,1448608.0,8125930.0,611500.0,410680.0,521600.0,413300.0,377500.0,494900.0,431300.0,433620.0,562160.0,281324.17,27646704.0,27646704.0,27550424.0,39242.0,1766.0,92132.0,1024200.0,27168776.0,1209600.0,483824.0,0.0,214.0,0.0,15545869.44,5166424.32,6444276.48,374.0,932.0,629304.0,1071282.0,1876542.0,1275236.0,1231160.0,775526.0,803530.0,578972.0,377102.0,72620.0,254.0,364.0,27646704.0,0.0,2732.0,306.0,825600.0,2382658.0,505540.0,2839350.0,2125232.0,9818.0,38.0,0.0,3856.0,6116.0,12914046.0,3518170.0,0.0,5810.0,0.0,0.0,13142782.0,17832.0,3246.0,0.0,0.0,2910.0,5171790.0,0.0,0.0,0.0,0.0,298434.0,85778.0,17294.0,23960460.0,3594930.0,518438.0,92678.0,218540.0,35036.0,15504960.0,90628.0,0.0,0.0,4983910.0,886.02,828.0,3787316.0,926638.0,624606.0,269976.0,638838.0,1358354.0,819918.0,262804.0,2824.0,0.0,0.0,0.0
4,43482.0,0.0,1534.0,1388.0,0.0,0.0,0.0,0.0,40024.0,493856.0,6831358.0,12916128.0,6733314.0,794698.0,4422.0,0.0,10301516.0,11296.0,44.0,0.0,728878.0,2036492.0,13602734.0,5508070.0,18848456.0,7723186.0,26.0,0.0,0.0,0.0,7306.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291972.0,27339768.0,182060.0,49192.0,6756.0,7406.0,13782.0,31330.0,1890822.0,23399636.0,1680894.0,733982.0,0.0,24307974.0,2434536.0,504640.0,274042.0,107830.0,77106.0,60000.0,42816.0,4410.0,446.0,33186736.0,29510.0,34446.0,3802.0,4.0,10301516.0,461414.0,4125432.0,14710494.0,802880.0,790060.0,783560.0,749440.0,710040.0,524280.0,748940.0,745040.0,319560.0,43482.96,33186736.0,33186736.0,32428662.0,33960.0,6690.0,93132.0,465360.0,27853888.0,1209600.0,753376.0,0.0,940.0,0.0,6318933.12,18649909.44,2790524.16,82.0,8528.0,9608.0,125408.0,3091456.0,8224430.0,11605136.0,3766466.0,563668.0,313436.0,112250.0,1942.0,72.0,244.0,33186736.0,0.0,62352.0,8918.0,6363150.0,11463308.0,1798226.0,5380020.0,2630820.0,106804.0,202.0,0.0,2274.0,702.0,4572798.0,731960.0,0.0,358.0,0.0,0.0,7006946.0,146456.0,16028.0,1217240.0,20880422.0,0.0,0.0,0.0,0.0,0.0,0.0,481666.0,3130.0,420.0,0.0,0.0,161020.0,21988.0,12160.0,8128.0,0.0,0.0,0.0,0.0,3482750.0,17760.86,20336.0,22205204.0,3909586.0,497196.0,121166.0,202272.0,232636.0,645690.0,50.0,0.0,0.0,0.0,0.0
5,299352.0,0.0,2130706444.0,2012.0,0.0,0.0,0.0,0.0,0.0,184852.0,2695192.0,6230482.0,3380660.0,269786.0,57592.0,770.0,8117654.0,0.0,0.0,0.0,286470.0,408128.0,15339470.0,14401024.0,5363254.0,1001188.0,0.0,0.0,0.0,0.0,504.0,1934.0,0.0,0.0,0.0,0.0,0.0,82510.0,680240.0,9080072.0,2976512.0,0.0,10318.0,9336.0,15030.0,25242.0,124718.0,11926012.0,565672.0,143006.0,0.0,0.0,4181914.0,2748068.0,2033782.0,1053926.0,676422.0,500454.0,396760.0,351242.0,234994.0,641772.0,20990276.0,600.0,10460.0,666.0,0.0,8117654.0,160830.0,4440502.0,917536.0,276700.0,360420.0,301720.0,267840.0,363280.0,327720.0,315480.0,331400.0,97500.0,299351.67,20990276.0,20990276.0,17034552.0,76614.0,56.0,31322.0,408760.0,12865776.0,1209600.0,305608.0,0.0,82.0,0.0,14700342.72,0.0,1199556.48,2108.0,4156.0,0.0,4922.0,188434.0,1103304.0,2828156.0,3996790.0,2913862.0,1126990.0,547564.0,109312.0,0.0,404.0,20990276.0,22.0,14696.0,2510.0,488332.0,416738.0,305540.0,8440878.0,3053770.0,96446.0,422.0,2.0,3744.0,7568.0,14783784.0,8624082.0,0.0,5408.0,0.0,0.0,14787980.0,10816.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74406.0,27276.0,11110.0,20168702.0,2459600.0,210178.0,46972.0,11566380.0,1157464.0,12917538.0,123926.0,0.0,0.0,59351600.0,55.02,5402.0,1011792.0,1321726.0,869610.0,380422.0,763288.0,821082.0,7272234.0,375772.0,3408.0,0.0,0.0,0.0
6,892422.0,2.0,1342.0,1100.0,0.0,0.0,0.0,2716.0,656148.0,6846624.0,21333132.0,22695462.0,8334248.0,1986652.0,327964.0,17764.0,26875368.0,235886.0,94.0,0.0,2294762.0,3437188.0,46652870.0,41451492.0,15255118.0,6687458.0,6.0,0.0,0.0,0.0,6186.0,1228.0,0.0,0.0,0.0,0.0,0.0,0.0,23792.0,13840832.0,48285686.0,50400.0,52244.0,34994.0,48384.0,71232.0,185406.0,49097488.0,5554344.0,7109344.0,47274.0,0.0,23012672.0,7833952.0,5720658.0,5127916.0,3904614.0,2748506.0,2239066.0,2139132.0,1144070.0,8330124.0,64205334.0,3642.0,22626.0,99908.0,1378.0,26875368.0,731486.0,3958206.0,11270660.0,265460.0,346980.0,347980.0,356440.0,296880.0,334560.0,373960.0,401500.0,34220.0,892421.26,64205334.0,64205334.0,63813102.0,419321.0,21616.0,86480.0,50780.0,62212374.0,1209600.0,1260042.0,548.0,1032.0,0.0,43941357.12,1535.04,18235850.88,1216.0,5454.0,176938.0,1229048.0,6005028.0,8426506.0,13212502.0,12192052.0,10233412.0,7058654.0,2809886.0,856684.0,6860.0,6932.0,64205334.0,0.0,36586.0,4658.0,5471602.0,10833706.0,3557272.0,39006848.0,3216320.0,73358.0,348.0,12.0,1618.0,3184.0,43559262.0,23029052.0,0.0,27436.0,0.0,0.0,44009312.0,40460.0,612.0,0.0,0.0,610.0,1946.0,0.0,0.0,0.0,0.0,449008.0,260914.0,82750.0,93766826.0,14978470.0,911038.0,187328.0,116960.0,43454.0,58337656.0,43900.0,0.0,0.0,733953930.0,12161.64,10284.0,18397906.0,4428482.0,3500996.0,1980134.0,5102372.0,7882256.0,14095922.0,6605678.0,206190.0,774.0,0.0,0.0
7,267898.0,0.0,2130706432.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6573390.0,0.0,0.0,0.0,82876.0,119472.0,13200620.0,12245060.0,2834164.0,767924.0,0.0,0.0,0.0,0.0,338.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16119926.0,10008.0,16096.0,13210.0,6.0,6573390.0,113220.0,2021960.0,804416.0,225220.0,156460.0,189060.0,152040.0,207440.0,247860.0,225420.0,194180.0,40760.0,267897.4,16119926.0,16119926.0,196.0,0.0,86224.0,21728.0,367520.0,9642634.0,1209600.0,244520.0,2.0,242.0,0.0,12694102.08,0.0,1298205.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2046.0,16119926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,1438.0,12658346.0,6904702.0,0.0,22366.0,0.0,0.0,12787690.0,7880.0,1296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62670.0,46458.0,12040.0,16135558.0,2106068.0,195558.0,35218.0,31144060.0,3447506.0,7908152.0,58012.0,0.0,0.0,4902700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,176346.0,0.0,6982.0,5922.0,0.0,0.0,0.0,0.0,65836.0,1630616.0,6046848.0,8558602.0,3968884.0,1505456.0,226574.0,9498.0,9383512.0,62856.0,0.0,0.0,333186.0,588808.0,16831678.0,13634210.0,6167358.0,3167918.0,2.0,0.0,0.0,0.0,12492.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11303786.0,10708528.0,0.0,76870.0,57096.0,115770.0,252764.0,893158.0,18717854.0,1037794.0,861006.0,2.0,0.0,11880844.0,3578322.0,1332820.0,949220.0,754338.0,620842.0,535542.0,453510.0,230214.0,1676662.0,23334738.0,4392.0,3532.0,11184.0,444.0,9383512.0,333218.0,1549580.0,4605254.0,330380.0,252020.0,315720.0,314280.0,348540.0,479600.0,409580.0,359020.0,71820.0,176346.98,23334738.0,23334738.0,23120580.0,93881.0,5442.0,10950.0,324340.0,22020288.0,1209600.0,805308.0,2520.0,410.0,0.0,12745801.92,4301268.48,4953680.64,2834.0,7114.0,4476.0,173284.0,1546138.0,3046078.0,6818106.0,5035720.0,2172564.0,1337050.0,1191700.0,687198.0,266.0,302.0,23334738.0,0.0,23138.0,2884.0,5299354.0,3383890.0,1627112.0,8260900.0,3315736.0,98514.0,786.0,0.0,11016.0,1042.0,12114810.0,2107980.0,40.0,112848.0,0.0,0.0,13123484.0,46552.0,800.0,4334400.0,5418598.0,0.0,0.0,0.0,0.0,0.0,0.0,218208.0,71196.0,14194.0,0.0,0.0,747882.0,123950.0,546180.0,94506.0,0.0,0.0,0.0,0.0,28429950.0,7061.74,7040.0,9531556.0,4754898.0,2428526.0,720862.0,1189150.0,1710512.0,1018248.0,626354.0,32208.0,0.0,0.0,0.0
9,480534.0,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16640918.0,0.0,46.0,0.0,1048802.0,1476254.0,30013332.0,27989910.0,7586416.0,1795388.0,0.0,0.0,0.0,0.0,762.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38660776.0,9058.0,590.0,43312.0,204.0,16640918.0,384242.0,4437458.0,3136042.0,296320.0,233940.0,239060.0,228060.0,200560.0,230060.0,207780.0,299180.0,252500.0,480534.17,38660776.0,38660776.0,1152.0,0.0,7164.0,36814.0,1057280.0,0.0,1209600.0,313256.0,0.0,0.0,0.0,28268232.96,0.0,5166640.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1682.0,38660776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15562.0,2980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202574.0,17016.0,4620.0,6030050.0,800806.0,92340.0,72902.0,25540.0,26234.0,9729330.0,25632.0,0.0,0.0,1534170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
